"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J13,J18,J12";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";3;"Conn_01x04_Female";;;
2;"J9,J2";"PinSocket_1x12_P2.54mm_Vertical";2;"Conn_01x12_Female";;;
3;"J16";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
4;"J15,J14,J11,J17";"PinSocket_1x07_P2.54mm_Vertical";4;"Conn_01x07_Female";;;
5;"J6";"PinSocket_1x15_P2.54mm_Vertical";1;"Conn_01x15_Female";;;
6;"H5,H6,H4,H3,H2,H1";"MountingHole_2.7mm_M2.5_Pad";6;"MountingHole_Pad";;;
7;"J5,J4";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03_Female";;;
8;"SW2,SW1";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";2;"SW_Push";;;
9;"J1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02_Female";;;
10;"J10,J3";"PinSocket_1x16_P2.54mm_Vertical";2;"Conn_01x16_Female";;;
11;"D1";"D_5W_P12.70mm_Horizontal";1;"D";;;
12;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"22uF";;;
13;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"10uF";;;
14;"R4,R2,R1,R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";4;"4.7K";;;
15;"J7";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
16;"J8";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
